BSSID,Latitude,Longitude,Security
00147FD93251,55.857831,-4.259693,WPA
00184DD3E12F,55.857831,-4.259693,WPA
00253C3AF7F9,55.85827,-4.259777,WEP
001F9F1363E1,55.85827,-4.259777,WEP
F6B6496F4B7A,55.858679,-4.260276,None
0022A47DD323,55.858877,-4.260687,WPA
1AD854654AE2,55.85926,-4.266184,None
001F9F8684B7,55.85926,-4.266184,WEP
0022A47DD321,55.859323,-4.267081,WEP
00226BE0BBD5,55.859323,-4.267081,WPA2
00184D5CBAD8,55.859428,-4.268644,WPA
001A30BBF320,55.859459,-4.269091,None
00183FEB8FB3,55.859469,-4.269402,WPA
062104CB12B2,55.86012,-4.274041,None
0A2104CB12B2,55.86026,-4.275126,None
00A0F843CB1B,55.860256,-4.277326,WEP
001A1E497210,55.860193,-4.27892,None
0213E800010D,55.860193,-4.27892,None
002104C33862,55.860238,-4.279922,WPA2
00234EAD6E97,55.860238,-4.279922,WPA2
00134673D788,55.860324,-4.280672,None
00253CBE8449,55.860759,-4.28297,WEP
00223F1E5294,55.860968,-4.283784,WPA
0090D0DFBEA8,55.862161,-4.288339,WPA2
00184DF8526A,55.862161,-4.288339,WPA
A210D2F549D7,55.862161,-4.288339,None
001D680AEDF5,55.862381,-4.289269,WPA2
001A7031CA72,55.862381,-4.289269,WEP
001B2FBA088A,55.862381,-4.289269,WEP
0022756F1268,55.86362,-4.298618,WPA2
001B5B2B68FB,55.86362,-4.298618,WPA
001B5B2B68F9,55.86362,-4.298618,WEP
001F9F15BB1B,55.866754,-4.304059,WEP
00160A09C650,55.868019,-4.310025,WEP
0018F609C529,55.868701,-4.315358,WEP
0016CF14F179,55.868701,-4.315358,WEP
001E747D085F,55.868701,-4.315358,WPA
001CDF3A3FEB,55.868701,-4.315358,WEP
0024B2301578,55.868701,-4.315358,WPA
002417647C15,55.868701,-4.315358,WPA2
0011F5591060,55.869852,-4.321513,WPA
0014A4771D3A,55.869852,-4.321513,WEP
001F337CA5FE,55.869852,-4.321513,WPA
001E749412E6,55.869852,-4.321513,WPA
02242C708D03,55.869852,-4.321513,None
001A4D217FCE,55.869852,-4.321513,WEP
001E108D3BFE,55.869852,-4.321513,WPA
0024178482F9,55.869852,-4.321513,WEP
00186EC38F4F,55.869852,-4.321513,WEP
001F9F143ABB,55.869852,-4.321513,WEP
0018F6AB17F5,55.869941,-4.322038,WEP
001B2F7A7146,55.869941,-4.322038,WPA
001D6801A3E9,55.869941,-4.322038,WEP
002163B98B37,55.869941,-4.322038,WEP
001BBFB9C2EE,55.869941,-4.322038,WPA
0024B2341E54,55.869941,-4.322038,WPA
00234EAC42FA,55.869941,-4.322038,WEP
001F338639F6,55.869941,-4.322038,WPA
0018F65CD0E5,55.869941,-4.322038,WEP
002104C67BE2,55.869941,-4.322038,WPA2
00242C708D02,55.869941,-4.322038,WPA2
001F9F127CF5,55.869941,-4.322038,WEP
02242C708D00,55.869941,-4.322038,None
00184D1081B4,55.869941,-4.322038,WPA
001E744AD31C,55.869941,-4.322038,WPA
0024B28F1854,55.870485,-4.326835,WPA
000FB5C85B38,55.870485,-4.326835,None
0024176412B9,55.870534,-4.327414,WPA2
0017E009E040,55.870534,-4.327414,WEP
0090D0F2A567,55.870534,-4.327414,WEP
0017E009E080,55.870975,-4.331868,WEP
00146C927C2C,55.870975,-4.331868,None
021D684A2CC2,55.871602,-4.335138,None
001EC798DF5B,55.871602,-4.335138,WPA
001D684A2CC1,55.871602,-4.335138,WEP
00184DF923D4,55.871602,-4.335138,WPA
001F9FD5BAF7,55.871602,-4.335138,WEP
0001E3F0294A,55.871697,-4.335613,WPA2
0001E3EE6E2C,55.871697,-4.335613,WPA2
0A2104AD4F12,55.871923,-4.336748,None
062104AD4F12,55.871923,-4.336748,None
00183FBB7D6B,55.872018,-4.33723,WPA
00183FBB7D69,55.872018,-4.33723,WEP
00223F1F0E70,55.872139,-4.337874,WPA
002417308AD9,55.872139,-4.337874,WPA2
002456E476BB,55.87223,-4.338355,WPA
00183FB7B3F3,55.87235,-4.339032,WEP
02CAFBD50E37,55.873304,-4.342836,None
0014785172B4,55.874415,-4.345502,WPA
0023EA017AD0,55.875126,-4.347231,WEP
000FB5DD2931,55.87537,-4.347778,WPA
00195B67D330,55.875631,-4.348363,WEP
00223FC26630,55.875631,-4.348363,WPA
001E74B685BC,55.876266,-4.350484,WPA
001E2A197758,55.876429,-4.351042,WPA
001F6CA8BAA0,55.876589,-4.351584,WPA
00216333F621,55.876589,-4.351584,None
00223F792C10,55.876791,-4.35227,WPA
0810730B7992,55.876791,-4.35227,None
00164671B710,55.877379,-4.354062,WEP
0018396BB980,55.87832,-4.356587,None
001FB3B3A15C,55.879725,-4.36016,None
021DE00000CB,55.880139,-4.360949,None
00217C848B9B,55.880139,-4.360949,WPA
00217C848B99,55.880139,-4.360949,WEP
